CIMB-Principal Income Fund A (NIPETEC),NIPETEC:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/NIPETEC:IJ
CIMB-Principal Indo Domestic Equity Fund (CIMIDEF),CIMIDEF:IJ,Open-End Fund,Thematic Sector,http://www.bloomberg.com/quote/CIMIDEF:IJ
Cipta Balance (CIPTBAL),CIPTBAL:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/CIPTBAL:IJ
Cipta Dinamika (CIPTADI),CIPTADI:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/CIPTADI:IJ
Cipta Syariah Balance Fund (CIPSYBL),CIPSYBL:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/CIPSYBL:IJ
Cipta Syariah Equity Fund (CIPSYEQ),CIPSYEQ:IJ,Open-End Fund,Thematic Sector,http://www.bloomberg.com/quote/CIPSYEQ:IJ
CitraGold (MASCITR),MASCITR:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/MASCITR:IJ
COMM AUD Balanced Fund (COMMAUD),COMMAUD:IJ,Open-End Fund,Global Allocation,http://www.bloomberg.com/quote/COMMAUD:IJ
CommLink Aggressive Fund (CLKAGGR),CLKAGGR:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/CLKAGGR:IJ
CommLink Aggressive Plus Fund (COMMLAP),COMMLAP:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/COMMLAP:IJ
CommLink Conservative Fund (CLCONSV),CLCONSV:IJ,Open-End Fund,Conservative Allocation,http://www.bloomberg.com/quote/CLCONSV:IJ
CommLink Dynamic Strategic Fund (CMMLDSI),CMMLDSI:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/CMMLDSI:IJ
CommLink Moderate Fund (CLMODRT),CLMODRT:IJ,Open-End Fund,Moderate Allocation,http://www.bloomberg.com/quote/CLMODRT:IJ
Corfina Capital - Grow 2 Prosper (CORGRW2),CORGRW2:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/CORGRW2:IJ
Dana Ekuitas Andalan (BTCWEKA),BTCWEKA:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/BTCWEKA:IJ
Dana Ekuitas Prima (BTCWEPR),BTCWEPR:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/BTCWEPR:IJ
Dana Obligasi Stabil (SAMOBIL),SAMOBIL:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/SAMOBIL:IJ
Danareksa Anggrek (DANGGRI),DANGGRI:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/DANGGRI:IJ
Danareksa Anggrek Fleksibel (DANFLEK),DANFLEK:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/DANFLEK:IJ
Danareksa Gebyar Dana Likuid (DANGEBL),DANGEBL:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/DANGEBL:IJ
Danareksa Gebyar Indonesia II (DANGEB2),DANGEB2:IJ,Open-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/DANGEB2:IJ
Danareksa Indeks Syariah (DADINAR),DADINAR:IJ,Open-End Fund,Thematic Sector,http://www.bloomberg.com/quote/DADINAR:IJ
Danareksa Mawar (DANMAWI),DANMAWI:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/DANMAWI:IJ
Danareksa Mawar Fokus 10 (DANMW10),DANMW10:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/DANMW10:IJ
Danareksa Mawar Komoditas 10 (DANMKMD),DANMKMD:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/DANMKMD:IJ
Danareksa Mawar Konsumer 10 (DANMKNS),DANMKNS:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/DANMKNS:IJ
Danareksa Mawar Rotasi Sektor Strategis (DANMRSS),DANMRSS:IJ,Open-End Fund,Foreign Growth,http://www.bloomberg.com/quote/DANMRSS:IJ
Danareksa Melati Dollar (DANDOLL),DANDOLL:IJ,Open-End Fund,Aggregate Bond USD Focused,http://www.bloomberg.com/quote/DANDOLL:IJ
Danareksa Melati Pendapatan Tetap II (DANMPT2),DANMPT2:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/DANMPT2:IJ
Danareksa Melati Pendapatan Utama (DANMPUT),DANMPUT:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/DANMPUT:IJ
Danareksa Melati Platinum Rupiah (DANJSOP),DANJSOP:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/DANJSOP:IJ
